COMMUNE,WILAYA,LATITUDE,LONGITUDE
OULED MOUSSA,BOUMERDES,36.6857409,3.3642924
AIN TAGOURAIT,TIPAZA,36.6027844,2.6090961
AIN NAGA,BISKRA,34.6535415,6.1416099
EL KENNAR NOUCHFI,JIJEL,36.8125018,5.9862932
TAMALOUS,SKIKDA,36.8361791,6.6427952
OUYOUN EL ASSAFIR,BATNA,35.5556005,6.3083393
BERRIHANE,EL-TARF,36.8376854,8.1257847
BEKKOUCHE LAKHDAR,SKIKDA,36.6939025,7.3105409
CHETMA,BISKRA,34.8447307,5.7939424
AIN KERMA,EL-TARF,36.563333,8.1984116
BIR EL ATER,TEBESSA,34.7441882,8.0584012
LARBA NAIT IRATHEN,TIZI-OUZOU,36.6374918,4.2028466
HARCHOUN,CHLEF,36.1137919,1.5061783
DRAA EL KAID,BEJAIA,36.4400561,5.234867
MANSOURA,BORDJ-BOU-ARRERIDJ,36.1003544,4.4715751
AIN BENIAN,AIN-DEFLA,36.3523428,2.3899539
OULED ZOUAI,OUM EL-BOUAGHI,35.8402214,6.5114278
KHEZARA,GUELMA,36.3681295,7.5278729
FORNAKA,MOSTAGANEM,35.7519675,-0.0167043
SERIANA,BATNA,35.6925612,6.1850558
EL ATTEUF,GHARDAIA,32.476746,3.7471239
BOUKHADRA,TEBESSA,35.7449518,8.0346837
SIDI MAAROUF,JIJEL,36.6400065,6.2741706
TAGHZOUT,EL-OUED,33.4754769,6.7998514
RAHOUIA,TIARET,35.53032,1.0237833
TACHOUDA,SETIF,36.267485,5.7400239
LAYOUNE,TISSEMSILT,35.6683622,2.0645059
OULED RACHED,BOUIRA,36.2100292,4.1097138
SOUANI,TLEMCEN,34.9221475,-1.9158423
YAKOUREN,TIZI-OUZOU,36.7335937,4.4389944
EL AMRA,AIN-DEFLA,36.3050171,1.8482739
EL OMARIA,MEDEA,36.2671619,3.0270877
HONAINE,TLEMCEN,35.178264,-1.6534421
EL HAMMADIA,BORDJ-BOU-ARRERIDJ,35.972194,4.7704828
AFLOU,LAGHOUAT,34.11252,2.10029
FERRAOUN,BEJAIA,36.5580756,4.8660488
AIN BEIDA,OUARGLA,31.9392925,5.3915209
ZERIBET EL OUED,BISKRA,34.6830199,6.5047333
SIDI LAKHDAR,MOSTAGANEM,36.1643449,0.4406587
BENI ZID,SKIKDA,36.9124122,6.4762934
MSIRDA FOUAGA,TLEMCEN,35.0188577,-2.0831565
BOUDOUAOU EL BAHRI,BOUMERDES,36.7721989,3.4044018
ZAAFRANE,DJELFA,34.8502549,2.8549624
AIN DISS,OUM EL-BOUAGHI,36.0139339,7.0323694
BENI HAOUA,CHLEF,36.5304451,1.5692626
BORDJ BOUNAAMA,TISSEMSILT,35.8505025,1.6170851
BOUINAN,BLIDA,36.5322102,2.9918496
TOUAHRIA,MOSTAGANEM,35.8106097,0.2109301
BENI BAHDEL,TLEMCEN,34.6937442,-1.5187011
TICHI,BEJAIA,36.543869,5.443467
SEDJERARA,MASCARA,35.6299882,0.2132915
TALEB LARBI,EL-OUED,33.728911,7.5176604
DAHMOUNI,TIARET,35.4493097,1.4244372
ROUISSAT,OUARGLA,31.9239554,5.3498372
SIDI LANTRI,TISSEMSILT,35.6936399,1.5032488
FESDIS,BATNA,35.6181167,6.2464392
ZEBOUDJA,CHLEF,36.3540252,1.4302999
AKFADOU,BEJAIA,36.6578395,4.6068165
OUM TOUB,SKIKDA,36.7003588,6.5076167
MEDJANA,BORDJ-BOU-ARRERIDJ,36.1311024,4.669174
SIDI AICH,BEJAIA,36.6127914,4.6913091
EL ABIODH SIDI CHEIKH,EL-BAYADH,32.896484,0.5463928
OULED AMMAR,BATNA,35.4622558,5.1560233
SIDI SLIMANE,TISSEMSILT,35.8544291,1.7237871
BENSEKRANE,TLEMCEN,35.1109,-1.1998396
TALASSA,CHLEF,36.4179865,1.0698952
BORDJ BADJI MOKHTAR,BORDJ BADJI MOKHTAR,21.3302568,0.9540403
SIDI ABDELLI,TLEMCEN,35.044515,-1.1127416
BENI DOUALA,TIZI-OUZOU,36.6188796,4.0824933
DAHRA,CHLEF,36.2545642,0.8518821
DJENDEL SAADI MOHAMED,SKIKDA,36.7792138,7.1724216
OULED ADDI GUEBALA,MSILA,35.675496,4.9072115
MENAA,BATNA,35.1762498,6.0039939
TADMAIT,TIZI-OUZOU,36.7446573,3.9012256
BOUCHEGOUF,GUELMA,36.4704821,7.7290561
LAHMAR,BECHAR,31.8492486,-2.2807576
MISSERGHIN,ORAN,35.6179905,-0.7343553
LIOUA,BISKRA,34.6392137,5.4009134
AIN TORKI,AIN-DEFLA,36.3348803,2.3032371
M_ZIRAA,BISKRA,34.7207686,6.2947449
BIR GHBALOU,BOUIRA,36.2628812,3.5850113
SEBDOU,TLEMCEN,34.6403022,-1.3220383
FREHA,TIZI-OUZOU,36.757399,4.3194454
SEGHOUANE,MEDEA,36.0008943,2.905162
CHEURFA,ANNABA,36.7221505,7.5731982
SIDI AMEUR,MSILA,35.3651917,3.8257007
BOUZEGHAIA,CHLEF,36.3605876,1.2627232
AIN BEN KHELIL,NAAMA,33.160057,-0.9420284
BEN AZZOUZ,SKIKDA,36.8600024,7.2917539
KSAR EL HIRANE,LAGHOUAT,33.7012081,3.2269282
BEN AKNOUN,ALGER,36.7565214,3.0084296
MEGARINE,TOUGGOURT,33.1930214,6.0932032
OULED CHEBEL,ALGER,36.5981574,2.9949504
AIN ROMANA,BLIDA,36.4065567,2.691004
TADJENANET,MILA,36.1192994,5.9857948
OUED MORRA,LAGHOUAT,34.1649241,2.3247059
OUED ATHMANIA,MILA,36.266171,6.3117791
KHERRATA,BEJAIA,36.4936262,5.2771041
TIRMITINE,TIZI-OUZOU,36.6686811,3.9653731
OULED RECHACHE,KHENCHELA,35.2972988,7.3548369
ARZEW,ORAN,35.856348,-0.313678
DJEMILA,SETIF,36.3208994,5.7367902
OUARIZANE,RELIZANE,36.0444332,0.8959531
OULED KIHAL,AIN-TEMOUCHENT,35.3685532,-1.2348973
EL GUELBELKEBIR,MEDEA,36.2556406,3.4168521
BIR OULED KHELIFA,AIN-DEFLA,36.1807064,2.2276595
AMIZOUR,BEJAIA,36.6439022,4.9036535
AIN BEIDA HARRICHE,MILA,36.3959678,5.8941024
GOLEA,EL MENIAÂ,30.5836683,2.8830889
BREZINA,EL-BAYADH,32.5323489,1.754273
BENI AISSI,TIZI-OUZOU,36.6577044,4.0893302
MECHROHA,SOUK-AHRAS,36.3565124,7.8387478
AIN ABESSA,SETIF,36.3000482,5.2953337
TAFRAOUI,ORAN,35.444756,-0.5542336
DHALAA,OUM EL-BOUAGHI,35.460285,7.5500058
SIDI AMRANE,EL-OUED,35.0357093,6.3405626
EL KHEMIS,DJELFA,35.4050761,2.7048777
BOUSFER,ORAN,35.7012331,-0.8103918
EL HADJEB,BISKRA,34.7892294,5.5996001
KAOUS,JIJEL,36.7701723,5.8136168
OULED RAHMOUN,CONSTANTINE,36.1788485,6.701422
OULED BRAHIM,SAIDA,34.9895932,0.475625
AIN LARBI,GUELMA,36.2850588,7.3882292
KHEIR EDDINE,MOSTAGANEM,35.9510576,0.1799828
CHREA,BLIDA,36.4267854,2.8765029
MKIRA,TIZI-OUZOU,36.6315675,3.7830006
MENDES,RELIZANE,35.6507899,0.8644816
HAMMAM DEBAGH,GUELMA,36.4602654,7.2676947
HAMMAM RIGHA,AIN-DEFLA,36.3827173,2.4009305
MESSELMOUN,TIPAZA,36.5626559,2.0022623
BEN MHIDI,EL-TARF,36.7704579,7.9053142
OGGAZ,MASCARA,35.5621748,-0.2588196
DELLYS,BOUMERDES,36.9140699,3.9129556
FROHA,MASCARA,35.27606,0.120643
BOURKIKA,TIPAZA,36.4942993,2.4775236
TAZMALT,BEJAIA,36.3885111,4.4000106
EL MAHMAL,KHENCHELA,35.3751785,7.2115567
AIN FEKAN,MASCARA,35.1763942,-0.024915
KHENEG,LAGHOUAT,33.7447402,2.7911348
BENI OUNIF,BECHAR,32.0501891,-1.2486808
BOUGOUS,EL-TARF,36.6582252,8.3707314
BOUHAROUN,TIPAZA,36.6248757,2.657232
HASSI EL EUCH,DJELFA,35.0780426,3.2427004
BENI AZIZ,SETIF,36.4645062,5.6490139
EL MAGHARIA,ALGER,36.7313349,3.1085569
BEN CHOUD,BOUMERDES,36.8641433,3.8801313
RAHMANIA,ALGER,36.6805367,2.9064684
ARIB,AIN-DEFLA,36.2919441,2.0683322
DEUX BASSINS,MEDEA,36.4694702,3.2994088
SIDI MAKHLOUF,LAGHOUAT,34.0676281,2.8669111
IN GUEZZAM,IN GUEZZAM,19.5696707,5.7725744
AIN EL HADJAR,SAIDA,34.7612263,0.1442892
ZELFANA,GHARDAIA,32.3936629,4.2268033
DJERMA,BATNA,35.6844999,6.2909032
OULED MIMOUN,TLEMCEN,34.904794,-1.0281674
AIN DJASSER,BATNA,35.8596869,6.0012835
AIN LAHDJAR,SETIF,35.9404062,5.5408781
EL ANCER,JIJEL,36.7941634,6.1770786
TIXTER,BORDJ-BOU-ARRERIDJ,36.0291572,5.1117578
MELLAKOU,TIARET,35.2380662,1.2807715
CHEBLI,BLIDA,36.5774573,3.0090176
BOUMEDFAA,AIN-DEFLA,36.3700317,2.4732963
EL ASSAFIA,LAGHOUAT,33.9018768,3.0953642
LAZHARIA,TISSEMSILT,35.957524,1.567879
BABOR,SETIF,36.4898622,5.5378293
DRAA KEBILA,SETIF,36.4223095,4.9977651
EL KARMA,ORAN,35.6124273,-0.5787918
YAHIA BENI GUECHA,MILA,36.3907169,5.9940093
AIN EL ARBAA,AIN-TEMOUCHENT,35.4058264,-0.8811572
OUED FRAGHA,GUELMA,36.5384712,7.6854268
GUIDJEL,SETIF,36.081278,5.4920263
NACIRIA,BOUMERDES,36.7471933,3.836858
BALIDAT AMEUR,TOUGGOURT,32.9417127,5.9744271
ZEGHAIA,MILA,36.480762,6.1673842
DJINET,BOUMERDES,36.8779905,3.720138
OUED DJER,BLIDA,36.4268459,2.5605348
TREAT,ANNABA,36.9331905,7.4031122
EL HAMEL,MSILA,35.1308796,4.0879174
MERAHNA,SOUK-AHRAS,36.1978548,8.1556144
SIDI ABDERRAHMANE,CHLEF,36.4791747,1.1257586
ARRIS,BATNA,35.258514,6.3449818
BRANIS,BISKRA,34.9947631,5.772251
CHERIA,TEBESSA,35.2706778,7.7527115
BENI TAMOU,BLIDA,36.5374705,2.8206529
SOUK EL HAD,BOUMERDES,36.6919747,3.5915607
SOUK NAAMANE,OUM EL-BOUAGHI,35.8953079,6.3925749
CHETAIBI,ANNABA,37.0119395,7.4025879
MENAA,MSILA,35.1448839,3.6955175
GRAREM GOUGA,MILA,36.5152648,6.3261322
CHABET EL AMEUR,BOUMERDES,36.6374131,3.6957712
CHERCHEL,TIPAZA,36.6075021,2.1901982
TASSALA LEMTAI,MILA,36.5693012,5.9884624
MAAFA,BATNA,35.2663121,5.9018467
LICHANA,BISKRA,34.7251766,5.4356505
BELIMOUR,BORDJ-BOU-ARRERIDJ,35.9800721,4.8818115
MEDROUSSA,TIARET,35.1830659,1.1552709
BERRICHE,OUM EL-BOUAGHI,35.917798,7.3769813
OUED TLELAT,ORAN,35.5519239,-0.4522604
MIH OUENSA,EL-OUED,33.1995461,6.7096899
EL GHROUS,BISKRA,34.7054162,5.2854921
EL AOUANA,JIJEL,36.7716565,5.6114699
OUED NINI,OUM EL-BOUAGHI,35.5721271,7.3490145
BENI ZIKI,TIZI-OUZOU,36.565846,4.5068005
MAKOUDA,TIZI-OUZOU,36.7919734,4.0624221
CHAIBA,TIPAZA,36.6095154,2.7330752
HIDOUSSA,BATNA,35.5283105,5.9188903
TERNI BENI HEDIEL,TLEMCEN,34.7956632,-1.3553955
OULED SIDI BRAHIM,MSILA,35.3510378,4.1387382
SIDI SAFI,AIN-TEMOUCHENT,35.279924,-1.3137781
OUED CHAABA,BATNA,35.5238426,6.0346692
MOULAY LARBI,SAIDA,34.5952995,-0.1984171
BOUARFA,BLIDA,36.4638905,2.8126394
BORDJ ZEMOURA,BORDJ-BOU-ARRERIDJ,36.2690807,4.8402663
TAMLOUKA,GUELMA,36.1592954,7.1399798
ZEMMOURI,BOUMERDES,36.7864064,3.6012209
EL MADHER,BATNA,35.6258746,6.3706722
GHILASSA,BORDJ-BOU-ARRERIDJ,35.847568,4.9083006
BOUHAMZA,BEJAIA,36.4450868,4.6855035
BERHOUM,MSILA,35.654979,5.0344441
EL GHEDIR,SKIKDA,36.687176,6.9771347
SIDI BOUBEKEUR,SAIDA,34.9993322,-0.0258721
LARBAA,TISSEMSILT,35.9115725,1.4627421
OUED EL BERDI,BOUIRA,36.2885851,3.9180743
MAADID,MSILA,35.7974466,4.7564949
SIDI MEROUANE,MILA,36.5189042,6.2603141
OUM EL ADHAIM,SOUK-AHRAS,36.0283173,7.6041509
TAOURGA,BOUMERDES,36.7935601,3.9500124
ASFOUR,EL-TARF,36.6450055,7.9718849
AIN TASSERA,BORDJ-BOU-ARRERIDJ,36.0179598,4.9695974
GOURAYA,TIPAZA,36.5720127,1.9057978
AIN ZAOUIA,TIZI-OUZOU,36.5502351,3.8948674
OULED RIAH,TLEMCEN,34.9610292,-1.4980498
AIN EL KEBIRA,SETIF,36.3648446,5.5069356
SOBHA,CHLEF,36.1064562,1.0312961
TABELBALA,BÉNI ABBÈS,29.4054154,-3.2553664
KHOUBANA,MSILA,35.3244533,4.4831929
AIN ZERGA,TEBESSA,35.6480159,8.2603257
ZANA EL BEIDA,BATNA,35.7950928,6.10481
TINEBDAR,BEJAIA,36.6232839,4.6781911
AIN LECHIAKH,AIN-DEFLA,36.1220983,2.4054963
OULED SI SLIMANE,BATNA,35.61043,5.6322042
LAHLEF,RELIZANE,35.8932512,0.9795402
OUED CHOULY,TLEMCEN,34.8749626,-1.1341145
BOUAICHE,MEDEA,35.5538128,2.358512
BOUSKENE,MEDEA,36.1951317,3.2157348
KHADRA,MOSTAGANEM,36.2541082,0.5747888
MEKLA,TIZI-OUZOU,36.6876391,4.2681185
CHENIGUEL,MEDEA,35.9234302,3.5668505
KENDIRA,BEJAIA,36.5574534,5.0215287
OULED SELLAM,BATNA,35.828613,5.8830702
MEDJEZ AMAR,GUELMA,36.4816296,7.3214002
OULED FADEL,BATNA,35.5558054,6.6785087
MEKHATRIA,AIN-DEFLA,36.3025793,1.9597495
OUED EL DJEMAA,RELIZANE,35.7959797,0.6816434
AOUF,MASCARA,35.1251194,0.3578556
MOUDJEBEUR,MEDEA,35.9534707,2.8254889
HANNACHA,MEDEA,36.1895198,2.5666083
BOUZINA,BATNA,35.2648362,6.0988647
SIDI RACHED,TIPAZA,36.5625526,2.5324546
ILLIZI,ILLIZI,26.504191,8.479926
EL HAMDANIA,MEDEA,36.3620816,2.767105
AIN TALLOUT,TLEMCEN,34.9299907,-0.9542742
MESRA,MOSTAGANEM,35.8372794,0.1693314
BOUAICHOUNE,MEDEA,36.1465322,2.6613294
TAOURIRT IGHIL,BEJAIA,36.6995991,4.6977077
KHETTOUTI SED EL DJIR,MSILA,35.6790741,4.2599517
TAGHIT,BECHAR,30.9170611,-2.0294754
ECH CHAIBA,OULED DJELLAL,34.8407894,4.9234598
TIZI,MASCARA,35.3161396,0.0739093
AMOUCHA,SETIF,36.3766245,5.4181884
EL GUERRARA,GHARDAIA,32.7885786,4.4882869
HASSI MEFSOUKH,ORAN,35.8006933,-0.3765323
AIN ZANA,SOUK-AHRAS,36.4018987,8.2093288
EL AIOUN,EL-TARF,36.8267353,8.6012293
AIN GHORABA,TLEMCEN,34.7365837,-1.3976844
AIN KIHEL,AIN-TEMOUCHENT,35.219587,-1.1969828
BIR KASDALI,BORDJ-BOU-ARRERIDJ,36.1314462,5.007946
TIENET,TLEMCEN,35.0522613,-1.838749
OUED EL ABTAL,MASCARA,35.4552913,0.687517
AIT YAHIA,TIZI-OUZOU,36.5992546,4.3434679
OUED ZHOUR,SKIKDA,36.9267502,6.3158927
EL BOUIHI,TLEMCEN,34.3026316,-1.6021224
SIDI SAID,BEJAIA,36.6069076,4.820703
FELLAOUCENE,TLEMCEN,35.0137351,-1.5700733
AIN SIDI ALI,LAGHOUAT,34.1579118,1.5701308
AIN SKHOUNA,SAIDA,34.5054288,0.8490051
ZEKRI,TIZI-OUZOU,36.7803397,4.5895193
EL OUATA,BÉNI ABBÈS,29.8608014,-1.8496314
EL BORDJ,MASCARA,35.5025471,0.3340476
IN GHAR,IN SALAH,27.1018319,1.9065264
ROBBAH,EL-OUED,33.2894337,6.9040129
TIBERKANINE,AIN-DEFLA,36.1746084,1.6274197
BEN SROUR,MSILA,34.991345,4.5550981
TAMENTIT,ADRAR,27.7613334,-0.2657533
IGHIL ALI,BEJAIA,36.3378593,4.470196
AHL EL KSAR,BOUIRA,36.2528069,4.0414067
EL KHARROUBA,BOUMERDES,36.6564534,3.4068647
IBOUDRAREN,TIZI-OUZOU,36.5093387,4.251257
AIT TOUDERT,TIZI-OUZOU,36.5203106,4.1844513
MELBOU,BEJAIA,36.6403282,5.3626372
CHERAIA,SKIKDA,37.0017763,6.5133033
BENHAR,DJELFA,35.484908,3.00944
TIBANE,BEJAIA,36.6135798,4.652601
AIN BEN BEIDA,GUELMA,36.5869396,7.6456669
BOUHENNI,MASCARA,35.561548,-0.0885759
ROKNIA,GUELMA,36.58132,7.1826574
TIBERGUENT,MILA,36.3978575,6.0587121
TIDJELABINE,BOUMERDES,36.7321389,3.4956358
AMIRA ARRES,MILA,36.551664,6.0558151
BENAIRIA,CHLEF,36.3844273,1.3743329
EL EMIR ABDELKADER,AIN-TEMOUCHENT,35.2218671,-1.4050359
EL MARSA,CHLEF,36.4038198,0.9161822
AIT YAHIA MOUSSA,TIZI-OUZOU,36.6379122,3.8862283
ASSI YOUCEF,TIZI-OUZOU,36.5055421,4.0145154
TADJEMOUT,LAGHOUAT,33.8796356,2.5246794
COLLA,BORDJ-BOU-ARRERIDJ,36.2468046,4.6643641
KSAR KADDOUR,TIMIMOUN,29.578491,0.3739728
MESKIANA,OUM EL-BOUAGHI,35.6291407,7.6694143
SANEG,MEDEA,35.8513982,2.8390673
AIN EL HAMMAM,TIZI-OUZOU,36.5704326,4.3111366
KOUININE,EL-OUED,33.4037855,6.8264542
OUZELLAGUEN,BEJAIA,36.5478525,4.5766984
AIT LAAZIZ,BOUIRA,36.4445645,3.8807851
IGHRAM,BEJAIA,36.4622509,4.5042534
CHAHBOUNIA,MEDEA,35.5415407,2.6037738
SAFSAF,MOSTAGANEM,35.8657307,0.4045066
OUED ENDJA,MILA,36.4296241,6.1218697
BEN CHICAO,MEDEA,36.2284661,2.8740929
SALAH BOUCHAOUR,SKIKDA,36.7044252,6.8563693
SLIM,MSILA,34.8953467,3.7350935
AMMARI,TISSEMSILT,35.6145964,1.6524176
OUED GHIR,BEJAIA,36.7106296,4.9782915
OUAGUENOUN,TIZI-OUZOU,36.7588492,4.1844109
EL OUENZA,TEBESSA,35.9537262,8.1283088
KSAR SBAHI,OUM EL-BOUAGHI,36.0614655,7.2530315
AMIEUR,TLEMCEN,35.0048057,-1.2377829
GUERROUMA,BOUIRA,36.4326797,3.4277272
DARGUINA,BEJAIA,36.564307,5.3063118
NAKHLA,EL-OUED,33.2763121,6.9515739
AIN BOUCHEKIF,TIARET,35.3307092,1.4846026
SIDI BAIZID,DJELFA,35.0188069,3.4321688
ZAOUIET KOUNTA,ADRAR,27.2300419,-0.1933113
FEIDH EL BOTMA,DJELFA,34.5286598,3.784909
EL MERIDJ,TEBESSA,35.8236435,8.2033515
HASSANI ABDELKRIM,EL-OUED,33.4771663,6.8948804
AIN YOUCEF,TLEMCEN,35.0472865,-1.3739319
BOUHMAMA,KHENCHELA,35.3188013,6.7466351
HANCHIR TOUMGHANI,OUM EL-BOUAGHI,35.9346179,6.7412657
EL BIOD,NAAMA,33.7636135,-0.1306774
MAGHRAOUA,MEDEA,36.3829276,3.5291267
BIR HADDADA,SETIF,35.9630462,5.4308609
HAMMAM BENI SALAH,EL-TARF,36.5193221,8.035929
SOUAREKH,EL-TARF,36.8823518,8.5660285
BENI HAMIDENE,CONSTANTINE,36.5069941,6.5489049
BENIAN,MASCARA,35.0836488,0.2313191
EL HACHIMIA,BOUIRA,36.2194302,3.8161128
DJEBAHIA,BOUIRA,36.4768208,3.758111
BIR BOU HAOUCH,SOUK-AHRAS,36.0142141,7.4290603
HASSI BEN ABDELLAH,OUARGLA,32.2199778,5.8655476
BIR DHEHEB,TEBESSA,35.5245771,7.9395054
OULED SIDI MIHOUB,RELIZANE,35.9738265,0.6927849
MIZRANA,TIZI-OUZOU,36.8447164,4.0962588
OUED DJEMAA,AIN-DEFLA,36.040892,2.3710713
OUED EL KHEIR,MOSTAGANEM,35.9398123,0.3849409
SIDI KHALED,OULED DJELLAL,34.3915907,5.0005177
KASDIR,NAAMA,33.7094366,-1.358688
DJANET,DJANET,24.5538847,9.484194
DJOUAB,MEDEA,36.112315,3.4400244
BOUHLOU,TLEMCEN,34.8079693,-1.6025722
KHEMISTI,TISSEMSILT,35.6848996,1.9409705
HANIF,BOUIRA,36.3347997,4.2617798
KANOUA,SKIKDA,37.0470382,6.4205306
RECHAIGA,TIARET,35.312233,2.1203069
GUELTA ZERGA,SETIF,36.20575,5.6799343
HOUNET,SAIDA,35.118267,-0.1487685
BOUANDAS,SETIF,36.5045875,5.1036159
ROSFA,SETIF,35.8099925,5.2661899
BEKKARIA,TEBESSA,35.3746584,8.2407034
TINERKOUK,TIMIMOUN,30.461939,1.3611996
BOUHAMDANE,GUELMA,36.4637898,7.112547
MEDJEZ SFA,GUELMA,36.4441932,7.824483
ADEKAR,BEJAIA,36.6929171,4.6734299
DJEBALA,TLEMCEN,34.9599087,-1.8212834
CHELLAL,MSILA,35.5138695,4.3785487
KHAMS DJOUAMAA,MEDEA,36.1474693,3.1331309
SIDI ABDELAZIZ,JIJEL,36.853261,6.051473
HASSI KHELIFA,EL-OUED,33.5630338,6.9953023
AIN MAABED,DJELFA,34.8361526,3.1503724
MAGRA,MSILA,35.6163647,5.1014147
FKIRINA,OUM EL-BOUAGHI,35.6608817,7.2972243
SIDI ABDELMOUMENE,MASCARA,35.6528372,0.0137958
BENI DJELLIL,BEJAIA,36.5728807,4.8104334
EL GOR,TLEMCEN,34.5532464,-1.0503708
BABAR,KHENCHELA,35.1688559,7.1054786
NADORAH,TIARET,35.2154942,1.9127933
OULED DAHMANE,BORDJ-BOU-ARRERIDJ,36.2303398,4.7756321
ABALESSA,TAMANRASSET,22.8896277,4.8476861
IFIGHA,TIZI-OUZOU,36.6714929,4.4137989
SIDI KHETTAB,RELIZANE,35.9105034,0.5113687
SIDI AMAR,SAIDA,34.999902,0.134016
TOUSNINA,TIARET,35.0930304,1.3220813
TERRAGUELT,SOUK-AHRAS,35.8842976,7.5980674
ZAAROURIA,SOUK-AHRAS,36.2256214,7.9582241
BENI BOUSSAID,TLEMCEN,34.6480251,-1.7529879
AIN ZARIT,TIARET,35.3533903,1.6669943
AIN FEZZA,TLEMCEN,34.8780405,-1.2348586
EL MARSA,SKIKDA,37.0310788,7.2566883
RAS EL MIAAD,OULED DJELLAL,34.1838961,4.4510462
ROGASSA,EL-BAYADH,34.0182474,0.9262211
MLILIHA,DJELFA,34.7195744,3.688974
KEF EL AHMAR,EL-BAYADH,33.8504062,0.6332841
DJEMAA OULED CHEIKH,AIN-DEFLA,36.0770321,2.0045972
AGHBALOU,BOUIRA,36.427009,4.352646
BENI SEMIEL,TLEMCEN,34.7851213,-1.0917147
KALAA,RELIZANE,35.5817849,0.3285197
YOUSSOUFIA,TISSEMSILT,35.8960794,2.126545
SAHARIDJ,BOUIRA,36.3974847,4.2482336
ZERIZER,EL-TARF,36.7222365,7.9065934
MEKHADMA,BISKRA,34.5644591,5.4612955
MINAR ZARZA,MILA,36.5344008,5.9115909
SOUAFLIA,MOSTAGANEM,35.8460196,0.3123305
AOULEF,ADRAR,26.9722077,1.0786817
AGHLAL,AIN-TEMOUCHENT,35.2024598,-1.0817802
M_CHOUNECHE,BISKRA,34.9069849,6.0033889
LAC DES OISEAUX,EL-TARF,36.7759247,8.1185433
TOUSMOULINE,EL-BAYADH,33.6271375,0.3136009
TIN ZAOUATINE,IN GUEZZAM,19.9541906,2.9694782
AIN NEHALA,TLEMCEN,35.032462,-0.9900622
DEBDEB,ILLIZI,29.966978,9.424233
MOHAMED BOUDIAF,MSILA,34.8991073,4.4297754
SOUK OUFELLA,BEJAIA,36.6054725,4.6382952
NADOR,TIPAZA,36.5693907,2.3935492
ILLILTEN,TIZI-OUZOU,36.5160617,4.3944151
ZITOUNA,EL-TARF,36.6667412,8.2331969
HADDADA,SOUK-AHRAS,36.2306963,8.3377472
AIT KHELILI,TIZI-OUZOU,36.6757921,4.30882
LARHAT,TIPAZA,36.556746,1.8030812
ZELMATA,MASCARA,35.2649221,0.5315257
MEZDOUR,BOUIRA,36.0794428,4.0682603
SIDI ABDERRAHMANE,TIARET,34.5313852,1.0720717
SIDI KHOUILED,OUARGLA,31.9786887,5.4190448
SOUR,MOSTAGANEM,35.9586043,0.315475
SIDI BOUTOUCHENT,TISSEMSILT,35.8232714,1.9223329
NECHMAYA,GUELMA,36.6111841,7.5132917
OULED HAMLA,OUM EL-BOUAGHI,36.0795998,6.4720919
AIN EL ORAK,EL-BAYADH,33.4092219,0.7398474
RABTA,BORDJ-BOU-ARRERIDJ,35.9101108,4.7830133
CHEHAIMA,TIARET,34.5446115,1.3907908
RAOURAOUA,BOUIRA,36.2362601,3.6463352
YATAFEN,TIZI-OUZOU,36.5519079,4.2557573
EL MAMOUNIA,MASCARA,35.4247978,0.141363
SETTARA,JIJEL,36.7052717,6.3591657
ALAIMIA,MASCARA,35.6739515,-0.2205391
SOUAMAA,TIZI-OUZOU,36.6422876,4.3422178
SIDI TIFOUR,EL-BAYADH,33.6242805,1.7336176
BENI FOUDA,SETIF,36.2855197,5.6093601
OULED BESSEM,TISSEMSILT,35.6987742,1.8240855
EL ASNAM,BOUIRA,36.3212726,4.0130501
EL ARICHA,TLEMCEN,34.2240422,-1.2576653
AIN BERDA,ANNABA,36.672304,7.6360029
SIDI SLIMANE,TOUGGOURT,33.2918236,5.9485865
MEGHILA,TIARET,35.6062255,1.4353918
BOUKHELIFA,BEJAIA,36.6368914,5.0749708
EL EUCH,BORDJ-BOU-ARRERIDJ,35.8990321,4.5984311
EL KHABOUZIA,BOUIRA,36.309078,3.5971679
OUED HARBIL,MEDEA,36.2267996,2.632787
REBAIA,MEDEA,36.0278906,3.1381565
BOULEHILET,BATNA,35.737649,6.6305203
TAMZA,KHENCHELA,35.2514688,6.9973328
EL OGLA,TEBESSA,35.1887497,7.4688516
OULED SLIMANE,MSILA,34.9270365,4.8569699
HADJ MECHRI,LAGHOUAT,33.9977205,1.5460748
BREIRA,CHLEF,36.4488016,1.6150342
BENI CHEBANA,SETIF,36.4684262,4.8684047
AIN SEBT,SETIF,36.4864183,5.7113671
LEFLAYE,BEJAIA,36.6090456,4.6713413
BEDJENE,TEBESSA,35.3386113,7.4832056
CHELLALA,EL-BAYADH,33.0170236,0.0896971
ZAOUIA EL ABIDIA,TOUGGOURT,33.1328718,6.082352
AOUGROUT,TIMIMOUN,28.7074429,0.3406103
DJEZZAR,BATNA,35.5082551,5.2676704
EL OUTAYA,BISKRA,35.0345657,5.58955
SEHAILIA,MASCARA,35.4470807,0.3951191
OUED CHORFA,AIN-DEFLA,36.1655491,2.5546056
OULED KHOUDIR,BÉNI ABBÈS,29.2565086,-1.0596458
RAML SOUK,EL-TARF,36.7878718,8.5351897
BORDJ BEN AZZOUZ,BISKRA,34.6957162,5.3612562
BOUGARA,TIARET,35.5461351,1.9893403
AIN REGGADA,GUELMA,36.2799044,7.0765494
